id,event_id,map,date,team1,team2,team1_score,team2_score,team1_rating,team2_rating,team1_first_kills,team2_first_kills,team1_clutches,team2_clutches
38706,2261,8,2016-11-17 00:00,4608,5995,16,10,1.22 , 0.89,12 , 14,1 , 0
38705,2261,1,2016-11-16 23:30,7010,5973,16,14,1.10 , 0.97,16 , 14,1 , 0
38704,2261,6,2016-11-16 22:50,4608,6665,9,16,0.75 , 1.33,13 , 12,1 , 0
38703,2261,8,2016-11-16 22:25,4863,5995,3,16,0.71 , 1.49,6 , 13,1 , 1
38688,2261,5,2016-11-16 18:50,4608,5973,6,16,0.71 , 1.43,8 , 14,0 , 2
38701,2261,6,2016-11-16 21:45,6665,5973,16,1,1.61 , 0.54,11 , 6,3 , 0
38700,2261,7,2016-11-16 21:25,7010,5995,16,4,1.53 , 0.52,15 , 5,1 , 0
38692,2261,3,2016-11-16 18:50,7010,4863,19,17,1.24 , 0.89,20 , 16,1 , 2
38694,2261,5,2016-11-16 20:05,6665,5995,12,16,0.97 , 1.08,12 , 16,2 , 1
41014,2471,7,2017-01-28 21:45,5378,6137,16,14,1.12 , 0.92,20 , 10,1 , 1
41000,2471,3,2017-01-28 15:00,6667,6137,16,7,1.22 , 0.94,12 , 11,3 , 0
41012,2471,6,2017-01-28 21:45,5378,6137,19,17,1.03 , 1.01,18 , 18,3 , 0
41011,2471,5,2017-01-28 18:45,6665,4991,16,5,1.42 , 0.74,16 , 5,2 , 1
41009,2471,1,2017-01-28 18:45,6665,4991,19,16,1.20 , 0.92,20 , 15,4 , 5
41007,2471,8,2017-01-28 15:00,6667,6137,5,16,0.63 , 1.50,5 , 16,0 , 1
41004,2471,6,2017-01-28 15:00,6667,6137,3,16,0.62 , 1.59,5 , 14,0 , 3
40993,2471,7,2017-01-27 23:35,5378,7533,16,13,1.01 , 1.09,14 , 14,1 , 1
40992,2471,1,2017-01-27 23:35,5378,7533,12,16,0.97 , 1.06,13 , 15,0 , 0
40977,2471,3,2017-01-27 15:10,4608,6665,16,14,1.18 , 0.94,18 , 12,2 , 2
40988,2471,2,2017-01-27 19:45,4991,6651,16,7,1.31 , 0.78,13 , 10,1 , 1
40991,2471,8,2017-01-27 23:35,5378,7533,16,4,1.40 , 0.72,14 , 6,2 , 0
40967,2471,3,2017-01-26 02:20,5973,6665,3,16,0.51 , 1.57,4 , 15,0 , 0
40987,2471,8,2017-01-27 19:45,4991,6651,3,16,0.65 , 1.54,6 , 13,1 , 2
40984,2471,1,2017-01-27 19:45,4991,6651,16,7,1.24 , 0.78,13 , 10,1 , 0
40980,2471,2,2017-01-27 15:10,4608,6665,10,16,0.85 , 1.26,11 , 15,2 , 1
40976,2471,8,2017-01-27 15:10,4608,6665,7,16,0.88 , 1.27,8 , 15,0 , 1
40965,2471,5,2017-01-26 01:20,6667,5991,16,11,1.24 , 0.86,14 , 13,0 , 2
40963,2471,8,2017-01-25 23:35,7533,6902,19,17,1.07 , 1.09,20 , 16,3 , 5
40962,2471,8,2017-01-25 21:35,6651,6667,16,14,1.10 , 1.13,14 , 16,3 , 1
40956,2471,2,2017-01-25 20:00,6137,6665,19,17,1.10 , 1.01,16 , 20,3 , 2
40953,2471,1,2017-01-25 18:55,6902,6615,16,8,1.22 , 0.92,12 , 12,1 , 0
40952,2471,5,2017-01-25 17:55,4494,5973,4,16,0.54 , 1.49,6 , 14,0 , 1
40937,2471,6,2017-01-24 20:10,6665,5995,16,5,1.47 , 0.68,12 , 9,1 , 1
40951,2471,7,2017-01-25 16:30,5991,4991,11,16,1.03 , 1.09,10 , 17,0 , 4
40946,2471,8,2017-01-25 15:00,7533,5995,16,9,1.19 , 0.93,13 , 12,3 , 0
40931,2471,3,2017-01-24 17:15,7533,5310,19,15,1.03 , 1.06,18 , 16,2 , 2
40944,2471,6,2017-01-25 00:10,5988,6615,13,16,1.05 , 1.10,17 , 12,3 , 1
40941,2471,5,2017-01-24 22:25,5973,6667,18,22,0.95 , 1.11,18 , 22,2 , 2
40940,2471,2,2017-01-24 21:15,6137,4608,3,16,0.73 , 1.40,8 , 11,0 , 3
40935,2471,6,2017-01-24 18:45,6651,5378,10,16,0.90 , 1.21,12 , 14,1 , 1
40928,2471,1,2017-01-24 16:25,6902,5991,3,16,0.67 , 1.48,7 , 12,0 , 3
40925,2471,2,2017-01-24 15:00,4991,4494,16,11,1.02 , 1.01,11 , 16,2 , 0
40921,2471,5,2017-01-24 00:30,5378,5995,16,14,1.04 , 1.04,13 , 17,5 , 2
40920,2471,8,2017-01-23 23:15,6902,6651,9,16,0.81 , 1.34,11 , 14,1 , 3
40919,2471,6,2017-01-23 21:40,6615,6665,12,16,0.83 , 1.27,14 , 14,0 , 2
40918,2471,7,2017-01-23 20:15,7533,4991,13,16,1.03 , 1.12,12 , 17,1 , 0
40917,2471,8,2017-01-23 18:45,5988,5973,14,16,1.03 , 1.14,13 , 17,3 , 1
40913,2471,3,2017-01-23 17:15,6667,6137,17,19,0.98 , 1.11,16 , 19,2 , 5
40912,2471,7,2017-01-23 16:15,4608,5991,16,6,1.37 , 0.78,17 , 4,2 , 0
40902,2471,5,2017-01-22 23:50,5988,6667,9,16,0.85 , 1.32,10 , 15,1 , 2
40911,2471,1,2017-01-23 15:00,4494,5310,16,7,1.29 , 0.80,14 , 9,3 , 0
40901,2471,6,2017-01-22 22:50,6665,6902,6,16,0.67 , 1.42,7 , 15,2 , 1
40896,2471,1,2017-01-22 20:55,5973,5991,21,25,1.04 , 1.16,20 , 26,5 , 4
40891,2471,7,2017-01-22 20:00,4608,4494,16,3,1.48 , 0.64,14 , 5,1 , 0
40887,2471,3,2017-01-22 17:30,6137,5310,16,7,1.43 , 0.70,15 , 8,3 , 1
40888,2471,7,2017-01-22 18:40,5378,6615,16,13,1.16 , 1.02,16 , 13,4 , 1
41836,2541,6,2017-02-20 02:15,5378,6137,16,11,1.22 , 0.86,19 , 8,1 , 2
41832,2541,7,2017-02-20 02:15,5378,6137,8,16,0.76 , 1.40,6 , 18,2 , 1
41825,2541,1,2017-02-19 22:40,7533,6137,14,16,0.93 , 1.25,9 , 21,3 , 2
41830,2541,3,2017-02-19 22:40,7533,6137,9,16,0.87 , 1.24,12 , 13,1 , 1
41818,2541,6,2017-02-19 19:00,5378,6665,16,4,1.48 , 0.64,8 , 12,0 , 2
41809,2541,8,2017-02-19 19:00,5378,6665,9,16,0.87 , 1.21,15 , 10,1 , 0
41803,2541,5,2017-02-19 19:00,5378,6665,16,3,1.53 , 0.60,11 , 8,0 , 2
41760,2541,6,2017-02-19 02:30,6137,4608,16,7,1.41 , 0.67,15 , 8,0 , 0
41756,2541,3,2017-02-19 02:30,6137,4608,25,22,1.03 , 1.02,25 , 22,2 , 2
40886,2471,1,2017-01-22 16:30,4991,5995,10,16,0.88 , 1.25,12 , 14,3 , 2
40885,2471,7,2017-01-22 15:00,6651,7533,16,8,1.31 , 0.79,12 , 12,2 , 0
41755,2541,3,2017-02-19 00:05,6665,4411,16,7,1.29 , 0.74,10 , 13,2 , 0
41754,2541,4,2017-02-19 00:05,6665,4411,16,6,1.44 , 0.70,13 , 9,1 , 1
41753,2541,3,2017-02-18 21:15,4494,5378,14,16,1.04 , 1.11,12 , 18,2 , 3
41752,2541,6,2017-02-18 21:15,4494,5378,8,16,0.87 , 1.21,11 , 13,0 , 0
41749,2541,4,2017-02-18 18:00,6651,7533,20,22,1.02 , 1.10,19 , 23,1 , 3
41748,2541,5,2017-02-18 18:00,6651,7533,11,16,0.92 , 1.25,14 , 12,4 , 2
41731,2541,5,2017-02-18 01:45,4608,6667,13,16,0.95 , 1.10,12 , 17,3 , 1
41734,2541,6,2017-02-18 01:45,4608,6667,16,11,1.22 , 0.97,17 , 10,3 , 2
41725,2541,3,2017-02-18 01:45,4608,6667,16,6,1.36 , 0.74,11 , 11,2 , 0
41724,2541,1,2017-02-17 22:00,4411,5752,16,13,1.11 , 0.99,17 , 12,4 , 2
41723,2541,6,2017-02-17 22:00,4411,5752,16,6,1.15 , 0.97,10 , 12,2 , 0
41714,2541,5,2017-02-17 18:00,7533,6615,16,2,1.60 , 0.55,15 , 3,0 , 1
41722,2541,7,2017-02-17 22:00,4411,5752,2,16,0.68 , 1.56,3 , 15,0 , 3
41720,2541,7,2017-02-17 19:55,4991,5378,2,16,0.58 , 1.58,3 , 15,0 , 2
41718,2541,3,2017-02-17 19:55,4991,5378,9,16,0.87 , 1.18,12 , 13,1 , 2
41716,2541,7,2017-02-17 18:00,7533,6615,16,7,1.30 , 0.82,13 , 9,3 , 2
41703,2541,3,2017-02-17 03:30,6667,4494,10,16,0.93 , 1.19,12 , 14,1 , 2
41699,2541,7,2017-02-17 00:50,5378,6651,10,16,0.85 , 1.35,11 , 15,3 , 1
41701,2541,8,2017-02-17 02:15,6137,5752,16,6,1.43 , 0.76,12 , 10,2 , 3
41698,2541,5,2017-02-16 23:30,6665,6615,16,9,1.33 , 0.75,17 , 7,0 , 2
41697,2541,3,2017-02-16 22:15,6211,4608,6,16,0.79 , 1.29,13 , 9,1 , 2
41694,2541,7,2017-02-16 20:50,4863,4411,5,16,0.74 , 1.48,9 , 12,0 , 2
41691,2541,3,2017-02-16 19:25,7557,4991,9,16,0.82 , 1.26,10 , 15,0 , 2
41686,2541,5,2017-02-16 18:00,5005,7533,4,16,0.74 , 1.31,9 , 11,0 , 4
41679,2541,7,2017-02-16 03:45,4608,4494,12,16,0.99 , 1.23,14 , 14,4 , 3
41671,2541,3,2017-02-16 02:10,6667,6211,16,14,1.03 , 1.03,12 , 18,2 , 3
41668,2541,8,2017-02-16 00:30,4411,5752,14,16,0.99 , 1.17,12 , 18,2 , 2
41667,2541,7,2017-02-15 23:20,6137,4863,16,5,1.48 , 0.72,17 , 4,2 , 2
42424,2637,5,2017-03-05 18:00,6667,6665,12,16,0.90 , 1.20,11 , 17,2 , 1
41666,2541,4,2017-02-15 21:45,4991,6651,8,16,0.85 , 1.30,9 , 15,1 , 1
41664,2541,7,2017-02-15 20:30,5378,7557,16,12,1.11 , 1.00,11 , 17,2 , 1
42426,2637,4,2017-03-05 18:00,6667,6665,13,16,0.98 , 1.03,15 , 14,0 , 1
41656,2541,4,2017-02-15 19:10,7533,6615,11,16,0.87 , 1.22,13 , 14,1 , 1
41651,2541,5,2017-02-15 18:00,6665,5005,16,5,1.42 , 0.61,13 , 8,0 , 1
42418,2637,1,2017-03-05 18:00,6667,6665,16,9,1.14 , 0.98,16 , 9,4 , 0
42422,2637,8,2017-03-05 18:00,6667,6665,12,16,0.91 , 1.18,11 , 17,2 , 2
42393,2637,5,2017-03-04 14:15,7175,6665,12,16,0.88 , 1.13,15 , 13,0 , 1
42350,2637,5,2017-03-03 16:15,6665,4608,16,2,1.58 , 0.60,12 , 6,2 , 0
42390,2637,6,2017-03-04 14:15,7175,6665,12,16,0.91 , 1.12,11 , 17,0 , 0
42387,2637,3,2017-03-04 11:30,6667,7010,16,10,1.18 , 0.87,15 , 11,0 , 0
42384,2637,4,2017-03-04 11:30,6667,7010,16,9,1.18 , 1.00,14 , 11,4 , 4
32039,2248,8,2016-06-26 14:30,6290,5996,16,3,1.48 , 0.64,13 , 6,4 , 1
32042,2248,8,2016-06-26 19:00,5995,6290,16,5,1.49 , 0.65,14 , 7,1 , 1
32041,2248,2,2016-06-26 19:00,5995,6290,16,11,1.14 , 1.00,12 , 15,1 , 0
32040,2248,7,2016-06-26 14:30,6290,5996,16,14,1.08 , 1.04,13 , 17,1 , 1
32038,2248,2,2016-06-26 11:00,4991,5995,13,16,0.96 , 1.10,11 , 18,0 , 3
32031,2248,8,2016-06-26 11:00,4991,5995,2,16,0.56 , 1.65,5 , 13,1 , 2
32016,2248,6,2016-06-25 19:35,5996,5752,16,11,1.27 , 0.92,17 , 10,3 , 3
32015,2248,1,2016-06-25 19:35,5996,5752,16,7,1.32 , 0.70,16 , 7,2 , 1
32010,2248,5,2016-06-25 16:05,5973,5995,11,16,0.92 , 1.12,11 , 16,0 , 0
32009,2248,2,2016-06-25 16:05,5973,5995,6,16,0.71 , 1.51,9 , 13,1 , 1
32008,2248,7,2016-06-25 16:05,5973,5995,16,12,1.13 , 1.06,14 , 14,2 , 2
32000,2248,8,2016-06-25 13:00,6665,5752,8,16,0.84 , 1.25,9 , 15,1 , 2
31999,2248,2,2016-06-25 13:00,6665,5752,9,16,0.76 , 1.34,7 , 18,0 , 1
42266,2637,5,2017-03-02 11:10,7533,7175,17,19,1.05 , 1.08,17 , 19,1 , 4
42289,2637,7,2017-03-02 16:30,5752,7533,12,16,0.95 , 1.14,9 , 19,0 , 0
42257,2637,5,2017-03-02 10:00,5752,6137,16,9,1.11 , 0.93,15 , 10,2 , 0
42256,2637,6,2017-03-02 10:00,4608,5378,16,9,1.17 , 0.84,14 , 11,0 , 0
31977,2248,7,2016-06-24 15:50,6665,5996,12,16,1.04 , 1.16,13 , 15,1 , 3
42283,2637,7,2017-03-02 15:15,4608,7533,12,16,1.06 , 1.09,15 , 13,1 , 3
42273,2637,6,2017-03-01 21:45,7010,6665,11,13,1.02 , 1.09,12 , 12,0 , 2
31990,2248,2,2016-06-25 10:15,4411,5995,10,16,0.93 , 1.19,12 , 13,1 , 0
42284,2637,4,2017-03-02 15:15,6137,5378,14,16,1.03 , 1.08,20 , 10,4 , 1
42229,2637,4,2017-03-01 19:30,6615,4411,13,16,1.06 , 1.07,11 , 18,2 , 2
42343,2637,7,2017-03-03 11:35,7010,7533,16,6,1.34 , 0.77,15 , 7,4 , 1
42269,2637,6,2017-03-01 21:35,6665,6667,2,4,0.82 , 1.37,2 , 4,0 , 0
42230,2637,3,2017-03-01 19:30,7010,4991,16,14,0.90 , 1.12,14 , 16,1 , 0
42277,2637,7,2017-03-02 12:45,7533,5378,16,13,1.22 , 0.87,19 , 10,0 , 1
42228,2637,6,2017-03-01 19:30,6667,6665,8,16,0.82 , 1.26,8 , 16,1 , 3
42347,2637,3,2017-03-03 16:15,6665,4608,16,11,1.22 , 0.86,17 , 10,3 , 1
42263,2637,8,2017-03-02 11:10,4608,6137,16,12,1.14 , 0.93,15 , 13,3 , 1
31974,2248,6,2016-06-24 11:15,6290,4411,16,12,1.24 , 0.80,18 , 10,0 , 3
42280,2637,3,2017-03-02 14:15,6137,7175,16,5,1.52 , 0.57,15 , 6,1 , 1
42281,2637,3,2017-03-02 14:15,5752,5378,4,16,0.68 , 1.47,10 , 10,0 , 3
42330,2637,1,2017-03-03 11:35,7010,7533,16,14,1.18 , 0.97,16 , 14,2 , 1
42268,2637,7,2017-03-02 12:45,5752,7175,16,7,1.27 , 0.83,10 , 13,2 , 0
42214,2637,4,2017-03-01 16:45,6665,4991,19,17,1.12 , 0.90,17 , 19,3 , 1
31976,2248,6,2016-06-24 14:10,6290,5973,16,12,1.13 , 0.97,18 , 10,1 , 2
42216,2637,7,2017-03-01 17:25,4411,7010,14,16,0.99 , 1.19,14 , 16,2 , 3
42270,2637,6,2017-03-01 21:00,6667,7010,10,7,1.25 , 0.91,6 , 11,1 , 1
42287,2637,8,2017-03-02 16:30,4608,7175,12,16,0.95 , 1.20,14 , 14,4 , 2
31984,2248,1,2016-06-25 10:15,4411,5995,4,16,0.60 , 1.54,5 , 15,0 , 1
42205,2637,8,2017-03-01 12:15,4411,6665,24,28,0.97 , 1.17,27 , 25,5 , 3
42204,2637,6,2017-03-01 12:45,6667,4991,16,11,1.08 , 1.01,14 , 13,1 , 0
42211,2637,6,2017-03-01 15:30,6615,4991,10,16,0.82 , 1.23,9 , 17,1 , 0
42210,2637,4,2017-03-01 14:10,6615,7010,8,16,0.95 , 1.16,13 , 11,0 , 2
42201,2637,8,2017-03-01 11:30,6667,7010,16,6,1.32 , 0.75,11 , 11,2 , 0
42200,2637,6,2017-03-01 10:00,6615,6665,12,16,1.11 , 1.02,16 , 12,0 , 9
31975,2248,7,2016-06-24 12:45,5973,5995,16,6,1.34 , 0.77,15 , 7,2 , 0
42212,2637,1,2017-03-01 15:30,6665,7010,12,16,0.97 , 1.10,15 , 13,0 , 1
42213,2637,1,2017-03-01 16:25,4411,6667,6,16,0.68 , 1.37,6 , 16,0 , 0
42220,2637,6,2017-03-01 18:15,6615,6667,12,16,1.06 , 1.07,15 , 13,1 , 2
42198,2637,1,2017-03-01 10:00,4411,4991,14,16,1.17 , 1.04,16 , 14,1 , 7
42291,2637,7,2017-03-02 18:00,7533,6137,8,16,0.73 , 1.33,8 , 15,2 , 1
42296,2637,5,2017-03-02 18:00,7175,5378,16,14,1.03 , 1.08,18 , 12,2 , 1
42292,2637,3,2017-03-02 18:00,5752,4608,6,16,0.86 , 1.33,10 , 12,1 , 3
42335,2637,8,2017-03-03 11:35,7010,7533,15,19,1.07 , 1.05,17 , 17,1 , 2
44154,2683,4,2017-04-09 16:00,6667,6665,19,17,1.05 , 1.01,20 , 16,0 , 0
44142,2683,5,2017-04-09 12:30,4608,6665,10,16,0.91 , 1.20,10 , 16,1 , 1
44146,2683,5,2017-04-09 16:00,6667,6665,16,6,1.42 , 0.76,17 , 5,1 , 1
44145,2683,3,2017-04-09 16:00,6667,6665,14,16,0.94 , 1.07,16 , 14,1 , 1
44141,2683,8,2017-04-09 12:30,4608,6665,8,16,0.88 , 1.18,10 , 14,0 , 0
44140,2683,6,2017-04-09 09:00,6667,5310,16,14,1.03 , 1.00,18 , 12,0 , 0
44125,2683,1,2017-04-08 19:05,5974,6665,11,16,0.86 , 1.18,11 , 16,0 , 1
44139,2683,3,2017-04-09 09:00,6667,5310,16,13,1.11 , 0.94,16 , 13,0 , 2
44128,2683,4,2017-04-08 19:05,5974,6665,13,16,0.95 , 1.09,12 , 16,3 , 1
44120,2683,3,2017-04-08 15:00,4608,4991,16,8,1.32 , 0.82,17 , 6,3 , 1
44116,2683,8,2017-04-08 15:00,4608,4991,16,6,1.36 , 0.75,12 , 10,3 , 1
44118,2683,4,2017-04-08 15:00,4608,4991,7,16,0.78 , 1.28,9 , 14,1 , 1
44112,2683,7,2017-04-08 10:35,7533,5310,16,9,1.18 , 0.88,14 , 11,0 , 0
44115,2683,8,2017-04-08 10:35,7533,5310,11,16,0.94 , 1.16,13 , 14,1 , 1
44113,2683,1,2017-04-08 10:35,7533,5310,14,16,0.89 , 1.25,14 , 16,5 , 2
44082,2683,6,2017-04-07 15:50,6667,6137,16,7,1.28 , 0.82,14 , 9,2 , 1
44103,2683,4,2017-04-08 07:00,5995,6667,7,16,0.88 , 1.29,9 , 14,1 , 3
44106,2683,5,2017-04-08 07:00,5995,6667,16,11,1.16 , 0.95,14 , 13,4 , 3
44110,2683,6,2017-04-08 07:00,5995,6667,10,16,0.82 , 1.22,11 , 14,3 , 0
44088,2683,6,2017-04-07 18:50,4991,4411,16,7,1.30 , 0.81,14 , 9,1 , 0
44084,2683,1,2017-04-07 17:20,5974,7010,16,8,1.24 , 0.94,15 , 9,3 , 1
44080,2683,6,2017-04-07 14:10,6665,6137,16,12,1.16 , 0.86,15 , 12,2 , 1
44079,2683,8,2017-04-07 12:35,5310,4411,16,13,1.08 , 1.01,14 , 15,4 , 1
44074,2683,7,2017-04-07 07:45,6651,5974,14,16,1.03 , 1.19,15 , 15,2 , 1
44078,2683,1,2017-04-07 10:50,6667,7533,13,16,0.98 , 1.17,13 , 16,1 , 4
44077,2683,4,2017-04-07 09:30,5378,4991,2,16,0.59 , 1.51,6 , 12,0 , 1
44073,2683,4,2017-04-07 06:10,6474,7010,9,16,0.81 , 1.31,12 , 13,1 , 1
44056,2683,3,2017-04-06 18:30,4991,6665,13,16,0.88 , 1.14,14 , 15,0 , 0
44051,2683,8,2017-04-06 17:00,6137,5995,8,16,0.80 , 1.35,11 , 13,3 , 1
44043,2683,5,2017-04-06 15:40,4411,5378,16,5,1.50 , 0.67,15 , 6,0 , 3
44039,2683,4,2017-04-06 14:10,4608,7533,16,11,1.24 , 0.86,11 , 16,0 , 2
44038,2683,3,2017-04-06 12:40,5974,5310,11,16,1.01 , 1.15,10 , 16,2 , 0
44033,2683,1,2017-04-06 11:00,6651,6667,13,16,1.00 , 1.09,17 , 12,2 , 3
44030,2683,7,2017-04-06 09:35,7010,7716,16,11,1.24 , 0.89,12 , 15,0 , 3
44013,2683,3,2017-04-05 18:30,5378,6137,2,16,0.45 , 1.74,4 , 14,1 , 0
44026,2683,3,2017-04-06 08:00,4863,6474,16,19,1.03 , 1.13,14 , 21,3 , 3
44008,2683,7,2017-04-05 17:00,4411,6474,16,9,1.24 , 0.91,11 , 12,1 , 1
44003,2683,8,2017-04-05 15:45,4991,4608,9,16,0.83 , 1.33,9 , 16,2 , 1
44000,2683,7,2017-04-05 14:45,5995,5310,16,2,1.66 , 0.50,12 , 6,2 , 0
43998,2683,4,2017-04-05 12:30,6665,7533,16,19,0.98 , 1.15,16 , 19,2 , 4
43994,2683,3,2017-04-05 10:50,6667,7010,16,10,1.25 , 0.85,18 , 8,3 , 3
43968,2683,4,2017-04-04 17:00,4411,5995,6,16,0.75 , 1.33,9 , 13,0 , 1
43993,2683,7,2017-04-05 09:30,7716,5974,3,16,0.60 , 1.48,6 , 13,0 , 2
